instant,tanggal,musim,tahun,bulan,jam,hari_libur,seminggu,kondisi_cuaca,suhu,atemp,kelembaban,kecepatan_angin,casual,registered,total_penyewa,kategori_hari,kategori_kelembaban
70,2011-01-04,Semi,2011,Jan,0,0,Selasa,Cerah,0.16,0.1818,55.00000000000001,0.1045,0,5,5,Weekdays,Ideal
71,2011-01-04,Semi,2011,Jan,1,0,Selasa,Cerah,0.16,0.1818,59.0,0.1045,0,2,2,Weekdays,Ideal
72,2011-01-04,Semi,2011,Jan,2,0,Selasa,Cerah,0.14,0.1515,63.0,0.1343,0,1,1,Weekdays,Ideal
73,2011-01-04,Semi,2011,Jan,4,0,Selasa,Cerah,0.14,0.1818,63.0,0.0896,0,2,2,Weekdays,Ideal
74,2011-01-04,Semi,2011,Jan,5,0,Selasa,Cerah,0.12,0.1515,68.0,0.1045,0,4,4,Weekdays,Terlalu lembab
75,2011-01-04,Semi,2011,Jan,6,0,Selasa,Cerah,0.12,0.1515,74.0,0.1045,0,36,36,Weekdays,Terlalu lembab
76,2011-01-04,Semi,2011,Jan,7,0,Selasa,Cerah,0.12,0.1515,74.0,0.1343,2,92,94,Weekdays,Terlalu lembab
77,2011-01-04,Semi,2011,Jan,8,0,Selasa,Cerah,0.14,0.1515,69.0,0.1642,2,177,179,Weekdays,Terlalu lembab
78,2011-01-04,Semi,2011,Jan,9,0,Selasa,Cerah,0.16,0.1515,64.0,0.2239,2,98,100,Weekdays,Ideal
79,2011-01-04,Semi,2011,Jan,10,0,Selasa,Berawan,0.16,0.1364,69.0,0.3284,5,37,42,Weekdays,Terlalu lembab
80,2011-01-04,Semi,2011,Jan,11,0,Selasa,Cerah,0.22,0.2121,51.0,0.2985,7,50,57,Weekdays,Ideal
81,2011-01-04,Semi,2011,Jan,12,0,Selasa,Cerah,0.22,0.2273,51.0,0.1642,12,66,78,Weekdays,Ideal
82,2011-01-04,Semi,2011,Jan,13,0,Selasa,Cerah,0.24,0.2273,56.00000000000001,0.194,18,79,97,Weekdays,Ideal
83,2011-01-04,Semi,2011,Jan,14,0,Selasa,Cerah,0.26,0.2576,52.0,0.2239,9,54,63,Weekdays,Ideal
84,2011-01-04,Semi,2011,Jan,15,0,Selasa,Cerah,0.28,0.2727,52.0,0.2537,17,48,65,Weekdays,Ideal
85,2011-01-04,Semi,2011,Jan,16,0,Selasa,Cerah,0.3,0.2879,49.0,0.2537,15,68,83,Weekdays,Ideal
86,2011-01-04,Semi,2011,Jan,17,0,Selasa,Cerah,0.28,0.2727,48.0,0.2239,10,202,212,Weekdays,Ideal
87,2011-01-04,Semi,2011,Jan,18,0,Selasa,Cerah,0.26,0.2576,48.0,0.194,3,179,182,Weekdays,Ideal
88,2011-01-04,Semi,2011,Jan,19,0,Selasa,Cerah,0.24,0.2576,48.0,0.1045,2,110,112,Weekdays,Ideal
89,2011-01-04,Semi,2011,Jan,20,0,Selasa,Cerah,0.24,0.2576,48.0,0.1045,1,53,54,Weekdays,Ideal
90,2011-01-04,Semi,2011,Jan,21,0,Selasa,Cerah,0.22,0.2727,64.0,0.0,0,48,48,Weekdays,Ideal
91,2011-01-04,Semi,2011,Jan,22,0,Selasa,Cerah,0.22,0.2576,64.0,0.0896,1,34,35,Weekdays,Ideal
92,2011-01-04,Semi,2011,Jan,23,0,Selasa,Cerah,0.2,0.2273,69.0,0.0896,2,9,11,Weekdays,Terlalu lembab
93,2011-01-05,Semi,2011,Jan,0,0,Rabu,Cerah,0.2,0.2576,64.0,0.0,0,6,6,Weekdays,Ideal
94,2011-01-05,Semi,2011,Jan,1,0,Rabu,Cerah,0.16,0.197,74.0,0.0896,0,6,6,Weekdays,Terlalu lembab
95,2011-01-05,Semi,2011,Jan,2,0,Rabu,Cerah,0.16,0.197,74.0,0.0896,0,2,2,Weekdays,Terlalu lembab
96,2011-01-05,Semi,2011,Jan,4,0,Rabu,Cerah,0.24,0.2273,48.0,0.2239,0,2,2,Weekdays,Ideal
97,2011-01-05,Semi,2011,Jan,5,0,Rabu,Cerah,0.22,0.2273,47.0,0.1642,0,3,3,Weekdays,Ideal
98,2011-01-05,Semi,2011,Jan,6,0,Rabu,Cerah,0.2,0.197,47.0,0.2239,0,33,33,Weekdays,Ideal
99,2011-01-05,Semi,2011,Jan,7,0,Rabu,Cerah,0.18,0.1818,43.0,0.194,1,87,88,Weekdays,Terlalu kering
100,2011-01-05,Semi,2011,Jan,8,0,Rabu,Cerah,0.2,0.1818,40.0,0.2985,3,192,195,Weekdays,Terlalu kering
101,2011-01-05,Semi,2011,Jan,9,0,Rabu,Cerah,0.22,0.197,37.0,0.3284,6,109,115,Weekdays,Terlalu kering
102,2011-01-05,Semi,2011,Jan,10,0,Rabu,Cerah,0.22,0.197,37.0,0.3284,4,53,57,Weekdays,Terlalu kering
103,2011-01-05,Semi,2011,Jan,11,0,Rabu,Cerah,0.26,0.2273,33.0,0.3284,12,34,46,Weekdays,Terlalu kering
104,2011-01-05,Semi,2011,Jan,12,0,Rabu,Cerah,0.26,0.2273,33.0,0.3284,5,74,79,Weekdays,Terlalu kering
105,2011-01-05,Semi,2011,Jan,13,0,Rabu,Cerah,0.28,0.2576,30.0,0.2985,6,65,71,Weekdays,Terlalu kering
106,2011-01-05,Semi,2011,Jan,14,0,Rabu,Cerah,0.3,0.2879,28.000000000000004,0.194,10,52,62,Weekdays,Terlalu kering
107,2011-01-05,Semi,2011,Jan,15,0,Rabu,Cerah,0.3,0.2879,28.000000000000004,0.194,7,55,62,Weekdays,Terlalu kering
108,2011-01-05,Semi,2011,Jan,16,0,Rabu,Cerah,0.3,0.3182,28.000000000000004,0.0896,4,85,89,Weekdays,Terlalu kering
109,2011-01-05,Semi,2011,Jan,17,0,Rabu,Cerah,0.24,0.2273,38.0,0.194,4,186,190,Weekdays,Terlalu kering
110,2011-01-05,Semi,2011,Jan,18,0,Rabu,Cerah,0.24,0.2424,38.0,0.1343,3,166,169,Weekdays,Terlalu kering
111,2011-01-05,Semi,2011,Jan,19,0,Rabu,Cerah,0.24,0.2576,38.0,0.1045,5,127,132,Weekdays,Terlalu kering
112,2011-01-05,Semi,2011,Jan,20,0,Rabu,Cerah,0.22,0.2273,47.0,0.1642,7,82,89,Weekdays,Ideal
113,2011-01-05,Semi,2011,Jan,21,0,Rabu,Cerah,0.2,0.197,51.0,0.194,3,40,43,Weekdays,Ideal
114,2011-01-05,Semi,2011,Jan,22,0,Rabu,Cerah,0.18,0.197,55.00000000000001,0.1343,1,41,42,Weekdays,Ideal
115,2011-01-05,Semi,2011,Jan,23,0,Rabu,Cerah,0.2,0.2576,47.0,0.0,1,18,19,Weekdays,Ideal
116,2011-01-06,Semi,2011,Jan,0,0,Kamis,Cerah,0.18,0.2424,55.00000000000001,0.0,0,11,11,Weekdays,Ideal
117,2011-01-06,Semi,2011,Jan,1,0,Kamis,Cerah,0.16,0.2273,64.0,0.0,0,4,4,Weekdays,Ideal
118,2011-01-06,Semi,2011,Jan,2,0,Kamis,Cerah,0.16,0.2273,64.0,0.0,0,2,2,Weekdays,Ideal
119,2011-01-06,Semi,2011,Jan,4,0,Kamis,Berawan,0.16,0.197,64.0,0.0896,0,1,1,Weekdays,Ideal
120,2011-01-06,Semi,2011,Jan,5,0,Kamis,Berawan,0.14,0.1818,69.0,0.0896,0,4,4,Weekdays,Terlalu lembab
121,2011-01-06,Semi,2011,Jan,6,0,Kamis,Berawan,0.14,0.1667,63.0,0.1045,0,36,36,Weekdays,Ideal
122,2011-01-06,Semi,2011,Jan,7,0,Kamis,Berawan,0.16,0.2273,59.0,0.0,0,95,95,Weekdays,Ideal
123,2011-01-06,Semi,2011,Jan,8,0,Kamis,Cerah,0.16,0.2273,59.0,0.0,3,216,219,Weekdays,Ideal
124,2011-01-06,Semi,2011,Jan,9,0,Kamis,Berawan,0.18,0.2424,51.0,0.0,6,116,122,Weekdays,Ideal
125,2011-01-06,Semi,2011,Jan,10,0,Kamis,Cerah,0.2,0.2576,47.0,0.0,3,42,45,Weekdays,Ideal
126,2011-01-06,Semi,2011,Jan,11,0,Kamis,Cerah,0.22,0.2576,44.0,0.0896,2,57,59,Weekdays,Terlalu kering
127,2011-01-06,Semi,2011,Jan,12,0,Kamis,Cerah,0.26,0.2879,35.0,0.0,6,78,84,Weekdays,Terlalu kering
128,2011-01-06,Semi,2011,Jan,13,0,Kamis,Cerah,0.26,0.2727,35.0,0.1045,12,55,67,Weekdays,Terlalu kering
129,2011-01-06,Semi,2011,Jan,14,0,Kamis,Cerah,0.28,0.2727,36.0,0.1642,11,59,70,Weekdays,Terlalu kering
130,2011-01-06,Semi,2011,Jan,15,0,Kamis,Cerah,0.28,0.2727,36.0,0.0,8,54,62,Weekdays,Terlalu kering
131,2011-01-06,Semi,2011,Jan,16,0,Kamis,Cerah,0.26,0.2576,38.0,0.1642,12,74,86,Weekdays,Terlalu kering
132,2011-01-06,Semi,2011,Jan,17,0,Kamis,Cerah,0.22,0.2273,51.0,0.1642,9,163,172,Weekdays,Ideal
133,2011-01-06,Semi,2011,Jan,18,0,Kamis,Cerah,0.22,0.2273,51.0,0.1343,5,158,163,Weekdays,Ideal
134,2011-01-06,Semi,2011,Jan,19,0,Kamis,Cerah,0.22,0.2576,55.00000000000001,0.0896,3,109,112,Weekdays,Ideal
135,2011-01-06,Semi,2011,Jan,20,0,Kamis,Cerah,0.2,0.2121,51.0,0.1642,3,66,69,Weekdays,Ideal
136,2011-01-06,Semi,2011,Jan,21,0,Kamis,Berawan,0.22,0.2121,55.00000000000001,0.2239,0,48,48,Weekdays,Ideal
137,2011-01-06,Semi,2011,Jan,22,0,Kamis,Berawan,0.22,0.2121,51.0,0.2836,1,51,52,Weekdays,Ideal
138,2011-01-06,Semi,2011,Jan,23,0,Kamis,Berawan,0.2,0.197,59.0,0.194,4,19,23,Weekdays,Ideal
139,2011-01-07,Semi,2011,Jan,0,0,Jumat,Berawan,0.2,0.197,64.0,0.194,4,13,17,Weekdays,Ideal
140,2011-01-07,Semi,2011,Jan,1,0,Jumat,Berawan,0.2,0.197,69.0,0.2239,2,5,7,Weekdays,Terlalu lembab
141,2011-01-07,Semi,2011,Jan,2,0,Jumat,Berawan,0.2,0.197,69.0,0.2239,0,1,1,Weekdays,Terlalu lembab
142,2011-01-07,Semi,2011,Jan,4,0,Jumat,Berawan,0.2,0.2121,69.0,0.1343,0,1,1,Weekdays,Terlalu lembab
143,2011-01-07,Semi,2011,Jan,5,0,Jumat,Hujan/Salju_ringan,0.22,0.2727,55.00000000000001,0.0,0,5,5,Weekdays,Ideal
144,2011-01-07,Semi,2011,Jan,6,0,Jumat,Berawan,0.2,0.2576,69.0,0.0,8,26,34,Weekdays,Terlalu lembab
145,2011-01-07,Semi,2011,Jan,7,0,Jumat,Cerah,0.2,0.2121,69.0,0.1343,8,76,84,Weekdays,Terlalu lembab
146,2011-01-07,Semi,2011,Jan,8,0,Jumat,Cerah,0.2,0.197,51.0,0.2537,20,190,210,Weekdays,Ideal
147,2011-01-07,Semi,2011,Jan,9,0,Jumat,Cerah,0.2,0.1818,47.0,0.2985,9,125,134,Weekdays,Ideal
148,2011-01-07,Semi,2011,Jan,10,0,Jumat,Cerah,0.22,0.197,37.0,0.3284,16,47,63,Weekdays,Terlalu kering
149,2011-01-07,Semi,2011,Jan,11,0,Jumat,Berawan,0.2,0.197,40.0,0.2239,19,48,67,Weekdays,Terlalu kering
150,2011-01-07,Semi,2011,Jan,12,0,Jumat,Berawan,0.2,0.197,37.0,0.2537,9,50,59,Weekdays,Terlalu kering
151,2011-01-07,Semi,2011,Jan,13,0,Jumat,Berawan,0.2,0.1818,37.0,0.2836,9,64,73,Weekdays,Terlalu kering
152,2011-01-07,Semi,2011,Jan,14,0,Jumat,Berawan,0.2,0.197,40.0,0.2537,7,43,50,Weekdays,Terlalu kering
153,2011-01-07,Semi,2011,Jan,15,0,Jumat,Berawan,0.2,0.2121,37.0,0.1642,9,63,72,Weekdays,Terlalu kering
154,2011-01-07,Semi,2011,Jan,16,0,Jumat,Berawan,0.2,0.2121,37.0,0.1642,5,82,87,Weekdays,Terlalu kering
155,2011-01-07,Semi,2011,Jan,17,0,Jumat,Berawan,0.2,0.2576,37.0,0.0,9,178,187,Weekdays,Terlalu kering
156,2011-01-07,Semi,2011,Jan,18,0,Jumat,Cerah,0.2,0.2273,40.0,0.0896,7,116,123,Weekdays,Terlalu kering
157,2011-01-07,Semi,2011,Jan,19,0,Jumat,Cerah,0.16,0.197,55.00000000000001,0.0896,3,92,95,Weekdays,Ideal
158,2011-01-07,Semi,2011,Jan,20,0,Jumat,Cerah,0.18,0.2121,47.0,0.1045,1,50,51,Weekdays,Ideal
159,2011-01-07,Semi,2011,Jan,21,0,Jumat,Cerah,0.18,0.197,47.0,0.1343,0,39,39,Weekdays,Ideal
160,2011-01-07,Semi,2011,Jan,22,0,Jumat,Berawan,0.18,0.197,43.0,0.1642,2,34,36,Weekdays,Terlalu kering
161,2011-01-07,Semi,2011,Jan,23,0,Jumat,Berawan,0.18,0.197,51.0,0.1642,1,14,15,Weekdays,Ideal
162,2011-01-08,Semi,2011,Jan,0,0,Sabtu,Berawan,0.18,0.197,51.0,0.1642,1,24,25,Weekend,Ideal
163,2011-01-08,Semi,2011,Jan,1,0,Sabtu,Berawan,0.18,0.2121,55.00000000000001,0.0896,1,15,16,Weekend,Ideal
164,2011-01-08,Semi,2011,Jan,2,0,Sabtu,Berawan,0.18,0.2424,55.00000000000001,0.0,3,13,16,Weekend,Ideal
165,2011-01-08,Semi,2011,Jan,3,0,Sabtu,Hujan/Salju_ringan,0.18,0.197,55.00000000000001,0.1642,0,7,7,Weekend,Ideal
166,2011-01-08,Semi,2011,Jan,4,0,Sabtu,Hujan/Salju_ringan,0.18,0.197,55.00000000000001,0.1642,0,1,1,Weekend,Ideal
167,2011-01-08,Semi,2011,Jan,5,0,Sabtu,Berawan,0.16,0.1667,74.0,0.1642,0,5,5,Weekend,Terlalu lembab
168,2011-01-08,Semi,2011,Jan,6,0,Sabtu,Berawan,0.16,0.1667,74.0,0.1642,0,2,2,Weekend,Terlalu lembab
169,2011-01-08,Semi,2011,Jan,7,0,Sabtu,Berawan,0.16,0.1818,74.0,0.1045,1,8,9,Weekend,Terlalu lembab
170,2011-01-08,Semi,2011,Jan,8,0,Sabtu,Hujan/Salju_ringan,0.16,0.1818,93.0,0.1045,0,15,15,Weekend,Terlalu lembab
171,2011-01-08,Semi,2011,Jan,9,0,Sabtu,Hujan/Salju_ringan,0.16,0.1818,93.0,0.1045,0,20,20,Weekend,Terlalu lembab
172,2011-01-08,Semi,2011,Jan,10,0,Sabtu,Berawan,0.18,0.197,80.0,0.1642,5,56,61,Weekend,Terlalu lembab
173,2011-01-08,Semi,2011,Jan,11,0,Sabtu,Berawan,0.2,0.1818,69.0,0.3881,2,60,62,Weekend,Terlalu lembab
174,2011-01-08,Semi,2011,Jan,12,0,Sabtu,Berawan,0.2,0.1818,59.0,0.3582,8,90,98,Weekend,Ideal
175,2011-01-08,Semi,2011,Jan,13,0,Sabtu,Cerah,0.2,0.1818,44.0,0.3284,7,95,102,Weekend,Terlalu kering
176,2011-01-08,Semi,2011,Jan,14,0,Sabtu,Cerah,0.2,0.1667,32.0,0.4925,12,83,95,Weekend,Terlalu kering
177,2011-01-08,Semi,2011,Jan,15,0,Sabtu,Cerah,0.2,0.1667,32.0,0.4478,5,69,74,Weekend,Terlalu kering
178,2011-01-08,Semi,2011,Jan,16,0,Sabtu,Cerah,0.18,0.1364,28.999999999999996,0.4478,8,68,76,Weekend,Terlalu kering
179,2011-01-08,Semi,2011,Jan,17,0,Sabtu,Cerah,0.16,0.1212,37.0,0.5522,5,64,69,Weekend,Terlalu kering
180,2011-01-08,Semi,2011,Jan,18,0,Sabtu,Cerah,0.14,0.1212,39.0,0.2985,3,52,55,Weekend,Terlalu kering
181,2011-01-08,Semi,2011,Jan,19,0,Sabtu,Cerah,0.14,0.1212,36.0,0.2537,4,26,30,Weekend,Terlalu kering
182,2011-01-08,Semi,2011,Jan,20,0,Sabtu,Cerah,0.12,0.1212,36.0,0.2537,0,28,28,Weekend,Terlalu kering
183,2011-01-08,Semi,2011,Jan,21,0,Sabtu,Cerah,0.12,0.1061,39.0,0.3582,2,35,37,Weekend,Terlalu kering
184,2011-01-08,Semi,2011,Jan,22,0,Sabtu,Cerah,0.12,0.1061,36.0,0.3881,1,33,34,Weekend,Terlalu kering
185,2011-01-08,Semi,2011,Jan,23,0,Sabtu,Cerah,0.1,0.0606,39.0,0.4478,0,22,22,Weekend,Terlalu kering
186,2011-01-09,Semi,2011,Jan,0,0,Minggu,Cerah,0.1,0.0758,42.0,0.3881,1,24,25,Weekend,Terlalu kering
187,2011-01-09,Semi,2011,Jan,1,0,Minggu,Cerah,0.1,0.0606,42.0,0.4627,0,12,12,Weekend,Terlalu kering
188,2011-01-09,Semi,2011,Jan,2,0,Minggu,Cerah,0.1,0.0606,46.0,0.4627,0,11,11,Weekend,Ideal
189,2011-01-09,Semi,2011,Jan,3,0,Minggu,Cerah,0.1,0.0758,46.0,0.4179,0,4,4,Weekend,Ideal
190,2011-01-09,Semi,2011,Jan,4,0,Minggu,Cerah,0.08,0.0909,53.0,0.194,0,1,1,Weekend,Ideal
191,2011-01-09,Semi,2011,Jan,5,0,Minggu,Cerah,0.08,0.0909,53.0,0.194,0,1,1,Weekend,Ideal
192,2011-01-09,Semi,2011,Jan,6,0,Minggu,Cerah,0.1,0.0909,49.0,0.2836,0,1,1,Weekend,Ideal
193,2011-01-09,Semi,2011,Jan,7,0,Minggu,Cerah,0.08,0.0909,53.0,0.194,1,5,6,Weekend,Ideal
